logFC	AveExpr	t	P.Value	adj.P.Val	B
26785	-4.2621414818754	7.98088575705623	-10.2809414975277	3.91806091451974e-11	7.36466285086376e-09	15.4982138034178
406928	-2.42574262011285	6.20884535732828	-10.2665258669706	4.04527040689412e-11	7.52112503368737e-09	15.4669062446525
677679	-4.25455369970422	10.3769166456504	-10.1716132101252	4.99570369743599e-11	9.18442875174099e-09	15.2600710776963
391059	-2.40756262034563	8.70007891760069	-10.1670072817774	5.04727449671823e-11	9.18442875174099e-09	15.2500025412953
6085	-3.25827920051634	11.9079251153018	-10.1521975575717	5.2168245215797e-11	9.31312509067741e-09	15.2176089446737
51068	-1.90172700352525	5.67687417480413	-10.151333715186	5.22689277231822e-11	9.31312509067741e-09	15.2157185217372
84818	-2.76388448537045	7.81115511527168	-10.1264599789016	5.52551333905433e-11	9.72558010778382e-09	15.1612414196642
9154	-4.34932537752538	8.17411654378602	-10.1186970578445	5.62225034221043e-11	9.72558010778382e-09	15.1442221928374
4047	-2.96954952096137	10.1044717086922	-10.1181642606412	5.6289531170453e-11	9.72558010778382e-09	15.1430538001438
285636	-2.40396589656412	6.60827611196109	-10.1080897307594	5.75724847742568e-11	9.84777352063663e-09	15.1209536518967
23787	2.72139964973756	11.9219493495346	10.1031016264514	5.82187632757202e-11	9.85972223595242e-09	15.1100062855176
100132247	-3.13271207375693	10.9718728841453	-10.0917639473869	5.97155396524462e-11	1.00140618211284e-08	15.0851108885951
9414	-2.64207059126331	8.6261568772963	-10.0391637768838	6.71935719470114e-11	1.11586994966372e-08	14.9693808172694
55596	-2.55186813690818	10.5184156505575	-10.0293237387296	6.86958529390076e-11	1.12984861973243e-08	14.9476888580326
55366	-2.58086655343268	11.0692265703335	-9.99758683187733	7.37800746086918e-11	1.20191254874445e-08	14.8776357338214
26793	-2.92798706949379	11.155657965294	-9.98917937875571	7.51905100681104e-11	1.21333365539154e-08	14.8590547572188
84839	2.23852642678631	11.2371864286771	9.97993664686095	7.67730122592879e-11	1.2272919389674e-08	14.8386165746094
56203	2.98740245985348	7.72640188303261	9.9435779821817	8.33370227449206e-11	1.31988867967765e-08	14.7581039391621
654320	-4.96677050716237	8.73422173860811	-9.9260110757218	8.6711974049949e-11	1.33094766783272e-08	14.7191387279717
692205	-2.49810797301897	13.1588144278446	-9.92585539055278	8.67425027070616e-11	1.33094766783272e-08	14.7187932126428
51	-2.57959383514382	7.15301193663871	-9.92421535118455	8.70647720122066e-11	1.33094766783272e-08	14.7151532368442
94162	-4.30133365779439	8.40419594697115	-9.92379434074872	8.71476987999210e-11	1.33094766783272e-08	14.7142187680647
148823	2.33428145166857	9.87434474660245	9.9089457839272	9.01248229419017e-11	1.35473492073778e-08	14.6812455400241
100302741	-2.46207100109835	13.889370192037	-9.9081403574756	9.02892610138011e-11	1.35473492073778e-08	14.6794561150559
692053	-3.75737179550836	6.90312152956998	-9.90277441149953	9.13926670586262e-11	1.35936658264157e-08	14.6675322561442
94161	-2.58172440155515	13.0767967871094	-9.87925219244351	9.63951271051207e-11	1.42141262856301e-08	14.6152159707074
3263	-2.02885091084655	12.9786923936325	-9.87146986523659	9.81112989709335e-11	1.43435364863061e-08	14.5978903669193
140739	2.34061120488276	11.2939906817348	9.85564263596977	1.01698839535058e-10	1.47420224597217e-08	14.5626288805416
122773	-2.49612813069032	6.04054492106704	-9.84723005332544	1.03660171839963e-10	1.49000608346435e-08	14.5438724497071
